ICAO CODE,FLIGHT NUMBER,สายการบิน,เลขที่อนุมัติ,,บ.แบบ,ต้นทาง,เวลา,ปลายทาง,เวลา,ระยะเวลา
AAQ,HB+NUMBER,ASIA ATLANTIC A/L,,,B767-300ER,,,,,25 MAR 18 - 27 OCT 18
AAR,OZ+NUMBER,ASIANA A/L,กพท 08/10474,,A330/B777/B767/B747,,,,,28 OCT 18 - 30 MAR 19
ABW,RU+NUMBER ,AIRBRIDGECARGO A/L LLC,กพท 08/10130,,B747/B748,,,,,28 OCT 18 - 30 MAR 19
AFL,SU+NUMBER,AEROFLOT,กพท 08/10741,,A330/B777,,,,,28 OCT 18 - 30 MAR 19
AFR,AF+..NUMBER…,AIR FRANCE,กพท 08/10431,กพท 08/10737,B777/B747/A380/A343,,,,,28 OCT 18 - 30 MAR 19
AHY,"AHY069,AHY070",AZERBAIJAN A/L,,,B767,,,,,29 OCT 17 - 24 MAR 18
AIC,AI+NUMBER,AIR INDIA,กพท 08/10415,กพท 08/10769,319/320/321/B788,,,,,28 OCT 18 - 30 MAR 19
AIQ,FD+..NUMBER…,THAI AIRASIA,กพท 08/10782,กพท 08/10778,A320,,,,,28 OCT 18 - 30 MAR 19
AIZ,IZ+NUMBER,ARKIA ISRAELI A/L,กพท 08/10556,,B767,,,,,28 OCT 18 - 30 MAR 19
ALK,"UL+NUMBER,ALK+NUMBER",SRILANKAN A/L,กพท 08/9606,กพท 08/10552,A320/A330/A340/A321,,,,,28 OCT 18 - 30 MAR 19
AMU,NX+NUMBER,AIR MACAU,กพท 08/9288,,A319/A320/A321,,,,,28 OCT 18 - 30 MAR 19
ANA,"ANA813,ANA814(NH+NUMBER)",ALL NIPPON A/W,กพท 08/10222,,B767-300ER,,,,,28 OCT 18 - 30 MAR 19
ANA,NH+NUMBER,ALL NIPPON A/W,กพท 08/10612,,B767/B787,,,,,28 OCT 18 - 30 MAR 19
APG,Z2+NUMBER,PHILIPPINES AIRASIA INC.,กพท 08/9462,,A320,,,,,28 OCT 18 - 30 MAR 19
APJ,"MM989,MM990",PEACH AVIATION LIMITED,กพท 08/9364,,A320-200,,,,,28 OCT 18 - 30 MAR 19
AUA,OS+NUMBER,AUSTRAIN,กพท 08/10626,,B777/B767/A320,,,,,28 OCT 18 - 30 MAR 19
AUI,"PS271,PS272",UKRAINE  INTERNATIONAL A/L,กพท 08/10207,,,,,,,28 OCT 18 - 30 MAR 19
